[Curriculum 1 Type 0 Episode 1000]	avg rewards : 7.955,	avg loss: : nan,	buffer size : 1390,	epsilon : 19.0% 
[Curriculum 1 Type 0 Episode 1020]	avg rewards : 7.964,	avg loss: : nan,	buffer size : 1418,	epsilon : 18.7% 
[Curriculum 1 Type 0 Episode 1040]	avg rewards : 7.969,	avg loss: : nan,	buffer size : 1443,	epsilon : 18.3% 
[Curriculum 1 Type 0 Episode 1060]	avg rewards : 7.985,	avg loss: : nan,	buffer size : 1469,	epsilon : 18.0% 
[Curriculum 1 Type 0 Episode 1080]	avg rewards : 7.977,	avg loss: : nan,	buffer size : 1492,	epsilon : 17.6% 
[Curriculum 1 Type 0 Episode 1100]	avg rewards : 7.970,	avg loss: : nan,	buffer size : 1514,	epsilon : 17.3% 
[Curriculum 1 Type 0 Episode 1120]	avg rewards : 7.955,	avg loss: : nan,	buffer size : 1539,	epsilon : 17.0% 
[Curriculum 1 Type 0 Episode 1140]	avg rewards : 7.959,	avg loss: : nan,	buffer size : 1562,	epsilon : 16.7% 
[Curriculum 1 Type 0 Episode 1160]	avg rewards : 7.974,	avg loss: : nan,	buffer size : 1584,	epsilon : 16.4% 
[Curriculum 1 Type 0 Episode 1180]	avg rewards : 7.960,	avg loss: : nan,	buffer size : 1612,	epsilon : 16.1% 
[Curriculum 1 Type 0 Episode 1200]	avg rewards : 7.966,	avg loss: : nan,	buffer size : 1637,	epsilon : 15.8% 
[Curriculum 1 Type 0 Episode 1220]	avg rewards : 7.980,	avg loss: : nan,	buffer size : 1662,	epsilon : 15.5% 
[Curriculum 1 Type 0 Episode 1240]	avg rewards : 7.974,	avg loss: : nan,	buffer size : 1686,	epsilon : 15.2% 
[Curriculum 1 Type 0 Episode 1260]	avg rewards : 7.969,	avg loss: : nan,	buffer size : 1712,	epsilon : 14.9% 
[Curriculum 1 Type 0 Episode 1280]	avg rewards : 7.973,	avg loss: : nan,	buffer size : 1738,	epsilon : 14.6% 
[Curriculum 1 Type 0 Episode 1300]	avg rewards : 7.967,	avg loss: : nan,	buffer size : 1767,	epsilon : 14.4% 
[Curriculum 1 Type 0 Episode 1320]	avg rewards : 7.972,	avg loss: : nan,	buffer size : 1791,	epsilon : 14.1% 
[Curriculum 1 Type 0 Episode 1340]	avg rewards : 7.950,	avg loss: : nan,	buffer size : 1818,	epsilon : 13.8% 
[Curriculum 1 Type 0 Episode 1360]	avg rewards : 7.945,	avg loss: : nan,	buffer size : 1844,	epsilon : 13.6% 
[Curriculum 1 Type 0 Episode 1380]	avg rewards : 7.959,	avg loss: : nan,	buffer size : 1868,	epsilon : 13.3% 
[Curriculum 1 Type 0 Episode 1400]	avg rewards : 7.971,	avg loss: : nan,	buffer size : 1890,	epsilon : 13.1% 
[Curriculum 1 Type 0 Episode 1420]	avg rewards : 7.969,	avg loss: : nan,	buffer size : 1917,	epsilon : 12.8% 
[Curriculum 1 Type 0 Episode 1440]	avg rewards : 7.972,	avg loss: : nan,	buffer size : 1943,	epsilon : 12.6% 
[Curriculum 1 Type 0 Episode 1460]	avg rewards : 7.958,	avg loss: : nan,	buffer size : 1966,	epsilon : 12.4% 
[Curriculum 1 Type 0 Episode 1480]	avg rewards : 7.947,	avg loss: : nan,	buffer size : 1993,	epsilon : 12.2% 
[Curriculum 1 Type 0 Episode 1500]	avg rewards : 7.958,	avg loss: : nan,	buffer size : 2016,	epsilon : 11.9% 
[Curriculum 1 Type 0 Episode 1520]	avg rewards : 7.971,	avg loss: : nan,	buffer size : 2043,	epsilon : 11.7% 
[Curriculum 1 Type 0 Episode 1540]	avg rewards : 7.961,	avg loss: : nan,	buffer size : 2075,	epsilon : 11.5% 
[Curriculum 1 Type 0 Episode 1560]	avg rewards : 7.979,	avg loss: : 0.856340,	buffer size : 2107,	epsilon : 11.3% 
[Curriculum 1 Type 0 Episode 1580]	avg rewards : 8.005,	avg loss: : 0.568548,	buffer size : 2149,	epsilon : 11.1% 
[Curriculum 1 Type 0 Episode 1600]	avg rewards : 8.023,	avg loss: : 0.414837,	buffer size : 2196,	epsilon : 10.9% 
[Curriculum 1 Type 0 Episode 1620]	avg rewards : 8.041,	avg loss: : 0.320623,	buffer size : 2238,	epsilon : 10.7% 
[Curriculum 1 Type 0 Episode 1640]	avg rewards : 8.065,	avg loss: : 0.257323,	buffer size : 2279,	epsilon : 10.5% 
[Curriculum 1 Type 0 Episode 1660]	avg rewards : 8.082,	avg loss: : 0.215679,	buffer size : 2314,	epsilon : 10.3% 
